lemma,pos,gender,possible_participle
cazar,VERB,neutral,
cerrar,VERB,neutral,
coger,VERB,neutral,
cortar,VERB,neutral,
destruir,VERB,neutral,
echar,VERB,neutral,
golpear,VERB,neutral,
guardar,VERB,neutral,
levantar,VERB,neutral,
llevar,VERB,neutral,
meter,VERB,neutral,
mover,VERB,neutral,
poner,VERB,neutral,
quitar,VERB,neutral,
recoger,VERB,neutral,
romper,VERB,neutral,
sacar,VERB,neutral,
sentar,VERB,neutral,
soltar,VERB,neutral,
tirar,VERB,neutral,
tomar,VERB,neutral,
traer,VERB,neutral,
ayudar,VERB,neutral,
compartir,VERB,neutral,
cuidar,VERB,neutral,
despedir,VERB,neutral,
permitir,VERB,neutral,
proteger,VERB,neutral,
salvar,VERB,neutral,
servir,VERB,neutral,
acabar,VERB,neutral,
aparecer,VERB,neutral,
bastar,VERB,neutral,
cambiar,VERB,neutral,
comenzar,VERB,neutral,
continuar,VERB,neutral,
convertir,VERB,neutral,
cumplir,VERB,neutral,
depender,VERB,neutral,
empezar,VERB,neutral,
estar,VERB,neutral,
existir,VERB,neutral,
faltar,VERB,neutral,
haber,VERB,neutral,
lograr,VERB,neutral,
ocurrir,VERB,neutral,
parecer,VERB,neutral,
pasar,VERB,neutral,
permanecer,VERB,neutral,
quedar,VERB,neutral,
resultar,VERB,neutral,
ser,VERB,neutral,
suceder,VERB,neutral,
terminar,VERB,neutral,
beber,VERB,neutral,
cenar,VERB,neutral,
cocinar,VERB,neutral,
comer,VERB,neutral,
crecer,VERB,neutral,
descansar,VERB,neutral,
despertar,VERB,neutral,
doler,VERB,neutral,
dormir,VERB,neutral,
enfermar,VERB,neutral,
fumar,VERB,neutral,
morir,VERB,neutral,
nacer,VERB,neutral,
parir,VERB,neutral,
respirar,VERB,neutral,
sobrevivir,VERB,neutral,
vivir,VERB,neutral,
actuar,VERB,neutral,
arreglar,VERB,neutral,
construir,VERB,neutral,
controlar,VERB,neutral,
crear,VERB,neutral,
despachar,VERB,neutral,
dirigir,VERB,neutral,
firmar,VERB,neutral,
funcionar,VERB,neutral,
hacer,VERB,neutral,
limpiar,VERB,neutral,
preparar,VERB,neutral,
trabajar,VERB,neutral,
usar,VERB,neutral,
atacar,VERB,neutral,
custodiar,VERB,neutral,
detener,VERB,neutral,
disparar,VERB,neutral,
luchar,VERB,neutral,
matar,VERB,neutral,
pelear,VERB,neutral,
robar,VERB,neutral,
vengar,VERB,neutral,
vetar,VERB,neutral,
bailar,VERB,neutral,
cantar,VERB,neutral,
casar,VERB,neutral,
celebrar,VERB,neutral,
deber,VERB,neutral,
dejar,VERB,neutral,
evitar,VERB,neutral,
helar,VERB,neutral,
intentar,VERB,neutral,
joder,VERB,neutral,
jugar,VERB,neutral,
merecer,VERB,neutral,
necesitar,VERB,neutral,
poder,VERB,neutral,
